Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specbzip_0	1.764253	0.020180	0.000089	0.290886
specbzip_1	1.725648	0.016161	0.000088	0.367425
specbzip_2	1.725587	0.016162	0.000074	0.367451
specbzip_3	1.725587	0.016160	0.000068	0.367472
specbzip_4	1.690684	0.012575	0.000068	0.480870
specbzip_5	1.657080	0.012579	0.000068	0.404579
specbzip_6	1.615417	0.011226	0.000068	0.393086
specbzip_7	1.741313	0.017922	0.000076	0.327794
specbzip_8	1.727934	0.016621	0.000067	0.354887
specbzip_9	1.672335	0.010728	0.000066	0.562613
specbzip_10	1.671640	0.010729	0.000066	0.557361
specbzip_11	1.669988	0.010728	0.000066	0.552659
specbzip_12	1.705180	0.012531	0.000068	0.505618
specbzip_13	1.655485	0.009565	0.000050	0.449396
specbzip_14	1.653746	0.009565	0.000050	0.439539
specbzip_15	1.661638	0.009903	0.000038	0.366301
specbzip_16	1.919129	0.026250	0.000101	0.161146
specbzip_17	2.268345	0.032274	0.000229	0.159935
specbzip_18	1.570182	0.008787	0.000050	0.260280
specbzip_19	1.563098	0.009096	0.000037	0.165153
