Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
spechmmer_0	6.997622	0.067644	0.094324	0.863899
spechmmer_1	5.724630	0.074067	0.043388	0.312187
spechmmer_2	6.915103	0.056645	0.095439	0.928129
spechmmer_3	6.893103	0.056645	0.092290	0.949303
spechmmer_4	6.893103	0.056645	0.092290	0.949303
spechmmer_5	6.893103	0.056645	0.092383	0.950570
spechmmer_6	6.878964	0.054995	0.091508	0.966452
spechmmer_7	6.878964	0.054995	0.091508	0.966452
spechmmer_8	6.878964	0.054995	0.091508	0.966452
spechmmer_9	5.573137	0.038921	0.066509	0.952741
spechmmer_10	4.862183	0.026814	0.049649	0.936170
spechmmer_11	4.628369	0.020419	0.038617	0.903114
spechmmer_12	4.669199	0.020419	0.041175	0.864238
spechmmer_13	5.724630	0.074067	0.043388	0.312187
