Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specmcf_0	1.248496	0.009314	0.009207	0.083574
specmcf_1	1.841442	0.038068	0.069512	0.003798
specmcf_2	1.208460	0.003310	0.009208	0.132434
specmcf_3	1.208222	0.003310	0.009191	0.132559
specmcf_4	1.203915	0.003309	0.009191	0.123104
specmcf_5	1.199678	0.003310	0.009191	0.113377
specmcf_6	1.126087	0.001929	0.000019	0.777897
specmcf_7	1.167262	0.002375	0.004844	0.237454
specmcf_8	1.166788	0.002346	0.004844	0.237903
specmcf_9	1.133901	0.001871	0.000019	0.923386
specmcf_10	1.111803	0.001120	0.000013	0.860718
specmcf_11	1.103812	0.000749	0.000009	0.726073
specmcf_12	NAN	NAN	NAN	NAN
specmcf_13	1.114758	0.000927	0.000009	0.861050
specmcf_14	1.841442	0.038068	0.069512	0.003798
specmcf_15	2.247934	0.035397	0.074248	0.003236
