Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
speclibm_0	3.114930	0.063330	0.000142	0.947910
speclibm_1	1.752845	0.018757	0.000144	0.336964
speclibm_2	3.087360	0.061561	0.000095	0.986460
speclibm_3	3.087360	0.061561	0.000086	0.986495
speclibm_4	3.082420	0.061266	0.000086	0.993192
speclibm_5	3.081454	0.061266	0.000086	0.993192
speclibm_6	3.079779	0.061266	0.000086	0.993192
speclibm_7	3.075328	0.060971	0.000084	0.999983
speclibm_8	3.075328	0.060971	0.000084	0.999983
speclibm_9	3.075328	0.060971	0.000084	0.999983
speclibm_10	2.283224	0.030487	0.000082	0.999960
speclibm_11	1.809287	0.015244	0.000079	0.999927
speclibm_12	1.752845	0.018757	0.000144	0.336964
speclibm_13	1.771813	0.026377	0.000192	0.112016
