Benchmarks	system.cpu.cpi	system.cpu.dcache.overall_miss_rate::total	system.cpu.icache.overall_miss_rate::total	system.l2.overall_miss_rate::total
specsjeng_0	8.731224	0.121906	0.000016	0.998759
specsjeng_1	3.446290	0.015532	0.000009	0.962681
specsjeng_2	8.729778	0.121834	0.000015	0.999939
specsjeng_3	8.730028	0.121834	0.000014	0.999944
specsjeng_4	8.729588	0.121834	0.000014	0.999944
specsjeng_5	8.728178	0.121834	0.000014	0.999944
specsjeng_6	8.727299	0.121831	0.000014	0.999987
specsjeng_7	8.730076	0.121831	0.000014	0.999987
specsjeng_8	8.729650	0.121831	0.000014	0.999987
specsjeng_9	8.729650	0.121831	0.000014	0.999987
specsjeng_10	5.993796	0.060918	0.000012	0.999978
specsjeng_11	4.439235	0.030461	0.000008	0.999966
specsjeng_12	3.446290	0.015532	0.000009	0.962681
specsjeng_13	3.021039	0.008075	0.000008	0.894929
